State_Name,2010 Census,2018 Estimate
.Alabama,"4,779,736","4,887,871"
.Arizona,"6,392,017","7,171,646"
.Arkansas,"2,915,918","3,013,825"
.California,"37,253,956","39,557,045"
.Colorado,"5,029,196","5,695,564"
.Connecticut,"3,574,097","3,572,665"
.District of Columbia,"601,723","702,455"
.Delaware,"897,934","967,171"
.Florida,"18,801,310","21,299,325"
.Georgia,"9,687,653","10,519,475"
.Idaho,"1,567,582","1,754,208"
.Illinois,"12,830,632","12,741,080"
.Indiana,"6,483,802","6,691,878"
.Iowa,"3,046,355","3,156,145"
.Kansas,"2,853,118","2,911,505"
.Kentucky,"4,339,367","4,468,402"
.Louisiana,"4,533,372","4,659,978"
.Maine,"1,328,361","1,338,404"
.Maryland,"5,773,552","6,042,718"
.Massachusetts,"6,547,629","6,902,149"
.Michigan,"9,883,640","9,995,915"
.Minnesota,"5,303,925","5,611,179"
.Mississippi,"2,967,297","2,986,530"
.Missouri,"5,988,927","6,126,452"
.Montana,"989,415","1,062,305"
.Nebraska,"1,826,341","1,929,268"
.Nevada,"2,700,551","3,034,392"
.New Hampshire,"1,316,470","1,356,458"
.New Jersey,"8,791,894","8,908,520"
.New Mexico,"2,059,179","2,095,428"
.New York,"19,378,102","19,542,209"
.North Carolina,"9,535,483","10,383,620"
.North Dakota,"672,591","760,077"
.Ohio,"11,536,504","11,689,442"
.Oklahoma,"3,751,351","3,943,079"
.Oregon,"3,831,074","4,190,713"
.Pennsylvania,"12,702,379","12,807,060"
.Rhode Island,"1,052,567","1,057,315"
.South Carolina,"4,625,364","5,084,127"
.South Dakota,"814,180","882,235"
.Tennessee,"6,346,105","6,770,010"
.Texas,"25,145,561","28,701,845"
.Utah,"2,763,885","3,161,105"
.Vermont,"625,741","626,299"
.Virginia,"8,001,024","8,517,685"
.Washington,"6,724,540","7,535,591"
.West Virginia,"1,852,994","1,805,832"
.Wisconsin,"5,686,986","5,813,568"
.Wyoming,"563,626","577,737"